seed:  (11830020555480319492, (431194198563542565, 11548814103606443682, 8943299993832976028, 2813557701600190364), 14886334122837910480, 2711343780616896477)
seed:  (10514262012384002327, (10746477898081955151, 1149191010942912844, 2848623519200803660, 11995590838346447106), 5770074328698090829, 2600001849761086118)
seed:  (16389402191935042392, (15104709029889525761, 5741431801006119569, 16954108436769595189, 10314018585060698691), 11166880270054695717, 16798319159348519554)
seed:  (13513539292890708034, (12360720584813049718, 11497880323588295030, 8420376311619658777, 3435203507296072569), 4443227326090553701, 9563763848012050905)
seed:  (4399765332893350614, (16577841211867861441, 2453668680125159341, 1329678371224697024, 17158932775875036450), 255247122380915316, 9934586190249823841)
seed:  (7834663577969203360, (3333725563757518091, 17105797897581115206, 2245434130919587385, 15933506767202406286), 15070430529701607856, 8460403053440388041)
seed:  (6634383333704208718, (3257618241632174200, 11764869477910216103, 7330842325097939581, 2796528034467861422), 9532425391899514853, 15314527673057825949)
seed:  (2127107552939360092, (10087607120970610886, 4148456706246284374, 5923468590128612061, 17748919780579545820), 13855471177570229465, 9125106964089344615)
seed:  (3520153896430138176, (13405960406793130101, 15357857467740588465, 10432320983385636360, 5617526056454539214), 14785715368277499443, 4408655629531841499)
seed:  (1930945769445891003, (3014199290656579907, 16930607060664794038, 17865692505592897885, 16581467026104209682), 14743611987169448010, 4684048549329235050)
seed:  (2975626443488152041, (2363488971578010192, 14626844874288075514, 7698446518317925129, 6719007489117030392), 4475908221195913703, 12520486007172197895)
seed:  (17170108853437879958, (1416974051773631111, 4374553199747537582, 9230482503518409324, 14926829320941103721), 13835339925962405123, 9242157671342600516)
seed:  (4716732944478498142, (78105393035546955, 9569123237333304058, 12071702029715912094, 7013385419076293567), 14274376349628671751, 5004023118730825473)
seed:  (3884782321970787667, (12903441505064183799, 3268922137271786225, 15641064264079345417, 6200091739600661491), 18082580822419849487, 14956531379440611396)
seed:  (8178523327771814518, (17420353509037263445, 1241075694705891214, 1718328362804511824, 3052242832399115195), 4083961137380463799, 16098853769391058117)
seed:  (16088605430208986486, (5790748139841199160, 16771265489685136786, 2431482588932059809, 10188538870295464157), 3000117719515449726, 1496725985075059922)
seed:  (15345816580133114638, (451735089761088873, 8662217268998939552, 14911863840842386825, 3365321692539974274), 2795745416314031216, 14271436431797285322)
seed:  (17078421034257838303, (12003980761635396058, 14832360510750683519, 18349448736696065333, 17620140116982436267), 7471920404713282124, 16134756801770713926)
seed:  (13149422613383527138, (15378579257799535505, 7253706982363963210, 11704782212660770571, 13471632655253120767), 5041404679216631063, 16655745167111311648)
seed:  (7578084584783588743, (5949086768141861984, 13674995007236110228, 86836771886331529, 15732336846724243927), 3039140065850433672, 5699018899369136592)
seed:  (6644668549724479843, (14689324082654499231, 9466203231565270141, 4911546655113948092, 6152937190740146547), 10234076178326793692, 17229189527871160354)
seed:  (10343746932181165521, (5411768833834732820, 15192225244653065384, 16287022113959836849, 5747069973409579684), 1641463131219361207, 929734621678458134)
seed:  (13685064082408230522, (14710355149845057636, 14109717072462367084, 7832642562802904159, 17660254530271877578), 5244861920947171049, 11819090003296419406)
seed:  (1826301367655989668, (2024685928527922878, 833679931609251463, 14625550422644107578, 467499754121077542), 8715636817850037824, 1685242039747176885)
seed:  (12411720472977663630, (6130589663081619464, 1227200410285342265, 8051807745444290120, 8717052358239044954), 15783012453787493263, 18308143337802577323)
seed:  (15311133718866680860, (1278283250329466120, 10617512270014710240, 17693422623295104114, 13004700478459795020), 4522624432462543477, 6848536025406650877)
