seed:  (17756746596704152412, (17457649753915209061, 14500988325009952201, 11027354251963007712, 3612470851774321868), 2482650404997054252, 11150294785658439374)
seed:  (4878007865415924606, (6310825897945795074, 12914749968919892366, 4959606043160674032, 2334763394071747579), 9813911353098782619, 15449842278474010264)
seed:  (11920081996058892344, (3513110055189328824, 7749291597774525893, 3778839047827401735, 7541625658974322396), 2016807904093380896, 11638243548649030721)
seed:  (14011221478042212208, (2243624782469157781, 2466817188519189874, 18049879410487907792, 11395729704943409653), 5197650961668758722, 16568449588013073977)
seed:  (13536127861820347547, (3359390896709655690, 11273940735560478026, 16555804599144686360, 10087394010896409347), 12417125601238891020, 4938899100070126419)
seed:  (16633130299576355757, (5355215292897404329, 15163984887195870551, 6997283436094557733, 8707242227693805371), 11731755152001185287, 17633857558507285643)
seed:  (9194859268800316439, (15937879702482094596, 15787273658826911995, 3688315090286905058, 11512072195516364478), 10487372760829442627, 8709028336453143768)
seed:  (17952989409969804100, (5844286826307472984, 17694501626528411286, 4715012767862401054, 4906565623881908933), 11023637544167630038, 6229506448630076215)
seed:  (4475466481348133241, (5817692286559980680, 5677745843044175513, 7578815224265234075, 12074520647578439166), 10817716547628338893, 311371983548125662)
seed:  (1921601878444240386, (10998631690781027471, 17268495633408212893, 12981109656960596798, 1265714017777589520), 2396737659785985419, 12579201551714980491)
seed:  (8040515891772139602, (1136757682251931001, 4555592329378396751, 15640903203454359663, 297119870614960941), 8556428707885853013, 11142484789689611076)
seed:  (6964113645993364714, (7687218072257923840, 3120084817746741710, 11549952464900361693, 2827250502578079542), 4729815514116139425, 1311288977407672021)
seed:  (954193363681596008, (11972891055719147064, 5161358700148540986, 14961732492814844524, 12563492490749823069), 17139468540099196228, 10842340184549347594)
seed:  (2704892876935377117, (13241587051223663660, 3213342748286325760, 4534760750974539539, 7042393309422775229), 13493398295358375652, 11988503125368582206)
seed:  (3163068884553781244, (8546753104267164129, 12175936917696858615, 8544925981267130985, 1970021076368934403), 9945328017112874643, 9132323772209059)
seed:  (15241607880408511275, (17373752553573905142, 17164815269972476563, 15115756950687081146, 18306096080511997651), 5394295281206285720, 5025866103524274216)
seed:  (3538216181167202266, (3998627751910673583, 8233921305660911955, 14353202605382785789, 1607389561533178231), 4961657216753470881, 6511215709349996754)
seed:  (9127480745322985060, (14537710019033307816, 2268421747318960592, 7096726594050542188, 14748605636926979886), 10125470983377522750, 1039260480655653089)
seed:  (1777456719381641101, (4830209538092976204, 7171400367607099293, 9981203728436337010, 1850712610565372060), 9560940766125455134, 14632442826067722202)
seed:  (8359933107107827679, (14937526665215082636, 15799324493035127762, 9856599000280573573, 11631603707134932610), 3023734932368255373, 12657180461068801041)
seed:  (10155054034817731058, (10591296328626667386, 14056371539050720056, 13264883260661186040, 8374886250831783699), 8855173739976592392, 7947014734417154682)
seed:  (4134708558476094027, (15740596587066183201, 10708226748588205139, 8680993095166290740, 2172438568065334572), 6118685307059269793, 12759349815646380364)
seed:  (13292264525012098209, (3118673052866419307, 9603707050659800199, 1338135444656802563, 8451750104649835637), 4510324205947508982, 16730417086708288481)
seed:  (1776602843170611268, (16904300018984937640, 2573237608563019396, 1143442382672535124, 15837037005753955245), 12170512526432179252, 7158105201880938158)
seed:  (15661185338871774449, (1245577897185115909, 16631169992091917486, 16874581924681758989, 11834698000807212324), 2665423021949519722, 5225621844562454332)
seed:  (2536832604990990256, (10646597453798551536, 10369881973630820676, 18111051818483079815, 7945267791774118006), 9745066343592474004, 5415571287448190002)
seed:  (8989921362277490080, (8626025593114994489, 12792563767515896410, 216088524692262606, 2804054856461427558), 13541898290280371346, 12932881745680958724)
seed:  (9259048754939667861, (4091473157928899972, 2285283353350773668, 15788409503949566974, 10441765624349479350), 3914748735927088314, 12556707540211202562)
seed:  (11800194714489230297, (13088023375388041393, 6808885592722026362, 3270327178690139806, 7968449609297506309), 2378743936221517787, 11878860256567192039)
seed:  (3225014389467869671, (13092655768324251643, 16993024374885221742, 14541747544409082762, 8477205825105367059), 13900213421768610763, 8165916928592491563)
seed:  (1169681131427819804, (6237130653213402057, 874591049603300281, 7581490095426126522, 12135103959627399948), 3721623049197175701, 2163377593824534281)
seed:  (17952813462886573781, (12298892056322974331, 9895286503747708318, 1121261523273842502, 1633254823690054883), 13531135962812910074, 3503453050111662634)
seed:  (9653902027085058556, (6990677663448103843, 5885786381373344429, 1968629036093849637, 8719247221176836570), 2859909063064592230, 11480166210065621959)
seed:  (3602996806625075051, (14703188028391276249, 12133990265958023002, 11749046582098963152, 17748999572928944844), 1431047529039277523, 1518833832920351011)
seed:  (16016298807183379906, (12858987900412726867, 6661363430598184338, 9461422828734817709, 17218522579329481422), 4877231962363517599, 6335277453565397516)
seed:  (4421262869968752467, (9529585646789169808, 1639142962809690891, 10959599725091832477, 13455986850866062397), 8155134160040256018, 13580390947124395870)
seed:  (14544665515655377913, (16264116283922649152, 8875287231185719422, 1042415584808492197, 2788020479800944411), 5679830057993809287, 17421522497540728536)
seed:  (12898549654072490072, (7121383821086709880, 17296107594952520525, 16198546150112942996, 14099330427347572389), 10244468274397211023, 256088969887811119)
seed:  (6486007224813127216, (4091058069227324856, 4646358037267086340, 15282251184956425422, 5848774535538764881), 10715317807147807500, 5338005506120367432)
seed:  (4864508559339277455, (6858418118981495927, 12073211394630289426, 2690509251789972124, 1992050932721361010), 9587193284762927565, 15726419237471176171)
seed:  (8614477367066875559, (18149360099614618023, 2453348714572589589, 15419535924602167404, 897163692989165179), 10196925670933706251, 12613857164932087785)
seed:  (6628858090318464062, (14034885341935139275, 15357007194196098642, 15691436011684310216, 7194114051269067067), 4295173498398410647, 12103899129176602406)
seed:  (4436086720912008288, (8004275515796683309, 14120073904676268803, 11491670853266682169, 12445162990480034933), 1803103573391839321, 4588463383647869911)
seed:  (407573198606626885, (9463083251159111957, 18177757258166623354, 7652454673302393249, 2862226529408549126), 1858943078322315007, 4972657006827624746)
seed:  (17076122446474686235, (6518188827388776005, 1593472931327084592, 10679000120382879353, 17524570607872410643), 7993350563284941617, 7806376408154738122)
seed:  (9344993385185323386, (9726185485794661530, 3489181784120501572, 11555950554726683252, 8167480259053612988), 16529260778888222417, 4634022766389331865)
seed:  (18095302678661696529, (13851638714152539243, 8954694813677472139, 13708618654602385916, 3562204606566517722), 2306907473256063343, 15791891713327586502)
seed:  (10447725446032919376, (1291667774299695157, 16463434001444740244, 592658014293200722, 3201279469105791557), 13708415289976687138, 6269370047501429390)
seed:  (15289199642609185104, (14264963838666523922, 15314505298875214624, 5166085206718657722, 3587434476460515108), 1187322029256124040, 588416889054948822)
seed:  (10722878249931207764, (12193213790436024909, 4264148743217543956, 3420594546928757141, 17431585894522627172), 9043855619487103735, 1991786439332000924)
seed:  (12061371246984854447, (17917363493570403516, 16418282504542134477, 4586211836992199868, 7045773829466955053), 3735333501457877168, 3114874941750623489)
seed:  (17462445657989136462, (14922702174869380935, 8405060469434207776, 8529550508875828786, 4828069236735689434), 7454651596437632520, 4659567507828915776)
seed:  (16764146894325144771, (13543310358572770180, 3739837283558510018, 9216579469295555114, 533185451565106741), 4038721536696041860, 16069660410026910358)
seed:  (17769605853647955117, (2990313440747285036, 4248982320492608680, 6460898827124859705, 1303705158514198018), 5909488280238076724, 13536883797260458593)
seed:  (8460936066308711358, (14179900623481509097, 1411278171995440336, 13729538851614072895, 2526522825040698493), 8680311754806191660, 17673172414248585934)
seed:  (6734679011482397921, (7679399670436123784, 3936696273412305282, 14139555831816500915, 17493454040543158010), 8451374862421221140, 10344084707294541273)
seed:  (15266555725193776323, (18177005670945977165, 15530134450100877935, 17537025780104796489, 9652549560090145633), 1860356324444338822, 10530632907436452024)
seed:  (6677151832496994478, (4224384032585871009, 2900146726038567075, 8627152116340699475, 9269913324918079829), 4031727914706209943, 17601745420474355272)
